,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type,Vcmax25
0,161,402,86.0,8.0,6.0,1.0,0.3030950382747632,Dfc,1,4.0,71.1
1,163,241,86.0,8.0,6.0,1.0,2.7771419851987957,Dfc,1,4.0,71.1
2,163,265,86.0,8.0,6.0,1.0,3.64690623331046,Dfb,7,3.0,54.0
3,163,346,86.0,8.0,6.0,1.0,1.4877207259904,Dfb,1,4.0,71.1
4,164,264,86.0,8.0,6.0,1.0,1.2054627298390417,Dfc,1,4.0,71.1
5,165,263,76.0,16.0,8.0,2.0,1.0376134889754098,Dfc,1,4.0,71.1
6,166,240,24.0,58.0,18.0,3.0,3.31120775158314,Dsb,1,4.0,71.1
7,166,243,86.0,8.0,6.0,1.0,4.455634393835397,Dsb,1,4.0,71.1
8,166,246,86.0,8.0,6.0,1.0,4.287785152971709,Dsb,1,4.0,71.1
9,166,251,,,,4.0,3.3264667734798654,Dsb,1,4.0,71.1
10,166,262,76.0,16.0,8.0,2.0,2.273594262607787,Dfb,1,4.0,71.1
11,166,383,86.0,8.0,6.0,1.0,1.1966972694828517,Dfb,5,5.0,55.0
12,167,239,24.0,58.0,18.0,3.0,4.12756542305641,Dsb,1,4.0,71.1
13,167,264,76.0,16.0,8.0,2.0,2.273594262607787,Dfc,1,4.0,71.1
14,167,355,86.0,8.0,6.0,1.0,1.7038393394539415,Dfb,1,4.0,71.1
15,167,414,86.0,8.0,6.0,1.0,0.6408789196613043,Dfc,5,5.0,55.0
16,168,238,24.0,58.0,18.0,3.0,3.4714274814984662,Dsb,1,4.0,71.1
17,168,426,86.0,8.0,6.0,1.0,0.5493247882811261,Dfb,5,5.0,55.0
18,169,264,76.0,16.0,8.0,2.0,1.2359807736324342,Dfb,1,4.0,71.1
19,169,350,74.0,16.0,10.0,2.0,1.6327153429465395,Dfb,5,5.0,55.0
20,169,399,86.0,8.0,6.0,1.0,0.4730296787976158,Dfb,5,5.0,55.0
21,169,422,40.0,39.0,21.0,4.0,0.6408789196613043,Dfb,5,5.0,55.0
22,170,238,86.0,8.0,6.0,1.0,3.677424277103853,Csb,1,4.0,71.1
23,170,264,76.0,16.0,8.0,2.0,1.2359807736324342,Dfb,1,4.0,71.1
24,170,395,86.0,8.0,6.0,1.0,0.3967345693141624,Dfb,5,5.0,55.0
25,171,238,86.0,8.0,6.0,1.0,3.662165255207185,Csb,1,4.0,71.1
26,172,228,86.0,8.0,6.0,1.0,2.548256656748322,Csb,1,4.0,71.1
27,172,270,76.0,16.0,8.0,2.0,1.2359807736324342,Dfb,1,4.0,71.1
28,173,229,86.0,8.0,6.0,1.0,6.462195773250954,Csb,1,4.0,71.1
29,173,270,76.0,16.0,8.0,2.0,1.9989318684672528,Dfb,1,4.0,71.1
30,174,229,86.0,8.0,6.0,1.0,5.951018539711613,Csb,1,4.0,71.1
31,174,268,20.0,40.0,40.0,9.0,1.8005645838102282,Dfb,1,4.0,71.1
32,174,444,86.0,8.0,6.0,1.0,0.6561379415579722,Dfb,5,5.0,55.0
33,175,229,86.0,8.0,6.0,1.0,4.661631189440783,Csb,1,4.0,71.1
34,175,269,76.0,16.0,8.0,2.0,1.3122758831159445,Dfb,1,4.0,71.1
35,176,226,86.0,8.0,6.0,1.0,2.5635156786450466,Csb,1,4.0,71.1
36,176,235,24.0,58.0,18.0,3.0,3.4866865033951626,Csb,1,4.0,71.1
37,176,247,86.0,8.0,6.0,1.0,3.0594338902876643,Csb,1,4.0,71.1
38,176,331,86.0,8.0,6.0,1.0,0.3509575036240449,Dfb,12,1.0,54.0
39,177,226,86.0,8.0,6.0,1.0,1.2359807736324342,Csb,1,4.0,71.1
40,177,233,37.0,46.0,17.0,4.0,3.692683299000578,Csb,1,4.0,71.1
41,177,244,86.0,8.0,6.0,1.0,2.761882963302071,Csa,7,3.0,54.0
42,177,246,86.0,8.0,6.0,1.0,1.2359807736324342,Csb,1,4.0,71.1
43,177,354,86.0,8.0,6.0,1.0,3.7079423208972457,Dfb,4,5.0,55.0
44,177,356,86.0,8.0,6.0,1.0,3.677424277103853,Dfb,4,5.0,55.0
45,178,226,86.0,8.0,6.0,1.0,2.517738612954929,Csb,1,4.0,71.1
46,178,234,37.0,46.0,17.0,4.0,3.31120775158314,Csb,1,4.0,71.1
47,178,244,40.0,39.0,21.0,4.0,3.662165255207185,Csb,7,3.0,54.0
48,178,250,86.0,8.0,6.0,1.0,1.2054627298390417,Dsb,1,4.0,71.1
49,178,267,86.0,8.0,6.0,1.0,1.022354467078685,BSk,1,4.0,71.1
50,178,357,86.0,8.0,6.0,1.0,2.3270008392462387,Dfb,4,5.0,55.0
51,178,359,86.0,8.0,6.0,1.0,3.9291981383993573,Dfb,4,5.0,55.0
52,179,234,37.0,46.0,17.0,4.0,2.9449912260624282,Csb,1,4.0,71.1
53,179,247,35.0,54.0,11.0,3.0,2.2430762188143945,Csb,1,4.0,71.1
54,179,249,35.0,54.0,11.0,3.0,1.2207217517357662,Csb,1,4.0,71.1
55,179,251,86.0,8.0,6.0,1.0,1.1902037079423735,Dsb,1,4.0,71.1
56,179,265,86.0,8.0,6.0,1.0,1.3122758831159445,Dfb,1,4.0,71.1
57,179,361,86.0,8.0,6.0,1.0,1.9760433356222225,Dfb,14,1.0,62.2
58,179,408,86.0,8.0,6.0,1.0,2.8992141603723667,Dfb,5,5.0,55.0
59,180,226,86.0,8.0,6.0,1.0,4.592965590905635,Csb,1,4.0,71.1
60,180,229,86.0,8.0,6.0,1.0,5.188067444876822,Csb,1,4.0,71.1
61,180,275,76.0,16.0,8.0,2.0,0.6561379415579722,Dfc,1,4.0,71.1
62,180,278,76.0,16.0,8.0,2.0,0.6408789196613043,Dfc,1,4.0,71.1
63,180,435,86.0,8.0,6.0,1.0,1.2207217517357662,Dfb,4,5.0,55.0
64,181,226,86.0,8.0,6.0,1.0,4.097047379263017,Csb,1,4.0,71.1
65,181,229,86.0,8.0,6.0,1.0,5.3711757076371764,Csb,1,4.0,71.1
66,181,247,35.0,54.0,11.0,3.0,2.517738612954929,Dsb,1,4.0,71.1
67,181,256,,,,4.0,1.2359807736324342,Dsb,1,4.0,71.1
68,181,272,20.0,40.0,40.0,9.0,0.8545052262150534,Dfc,10,6.0,62.2
69,181,276,76.0,16.0,8.0,2.0,0.4730296787976158,Dfc,1,4.0,71.1
70,181,290,40.0,39.0,21.0,4.0,0.8545052262150534,BSk,1,4.0,71.1
71,181,339,86.0,8.0,6.0,1.0,0.3662165255207697,Dfa,12,1.0,54.0
72,181,342,86.0,8.0,6.0,1.0,0.3053330281529472,Dfa,12,1.0,54.0
73,181,435,86.0,8.0,6.0,1.0,1.2359807736324342,Dfb,4,5.0,55.0
74,182,225,86.0,8.0,6.0,1.0,2.13626306553752,Csb,1,4.0,71.1
75,182,228,86.0,8.0,6.0,1.0,5.325398641947062,Csb,1,4.0,71.1
76,182,276,76.0,16.0,8.0,2.0,0.4730296787976158,Dfc,1,4.0,71.1
77,182,279,40.0,39.0,21.0,4.0,0.3814755474174376,Dfc,1,4.0,71.1
78,183,225,86.0,8.0,6.0,1.0,2.5635156786450466,Csb,1,4.0,71.1
79,183,228,,,,4.0,4.5242999923705165,Csb,1,4.0,71.1
80,183,244,86.0,8.0,6.0,1.0,3.2425421530480207,Dsb,1,4.0,71.1
81,183,276,86.0,8.0,6.0,1.0,0.3814755474174376,Dfc,1,4.0,71.1
82,184,225,86.0,8.0,6.0,1.0,1.2207217517357662,Csb,1,4.0,71.1
83,184,233,37.0,46.0,17.0,4.0,1.2359807736324342,Csb,1,4.0,71.1
84,184,436,86.0,8.0,6.0,1.0,2.273594262607787,Dfb,5,5.0,55.0
85,185,232,86.0,8.0,6.0,1.0,1.2359807736324342,Csb,1,4.0,71.1
86,186,234,24.0,58.0,18.0,3.0,1.9989318684672528,Csb,1,4.0,71.1
87,186,397,86.0,8.0,6.0,1.0,0.6561379415579722,Dfb,12,1.0,54.0
88,187,234,24.0,58.0,18.0,3.0,1.579308766308117,Csb,1,4.0,71.1
89,189,231,86.0,8.0,6.0,1.0,1.2359807736324342,Csb,1,4.0,71.1
90,189,323,86.0,8.0,6.0,1.0,2.2430762188143945,Dfa,12,1.0,54.0
91,190,230,86.0,8.0,6.0,1.0,4.028381780727898,Csb,1,4.0,71.1
92,191,230,86.0,8.0,6.0,1.0,4.577706569008967,Csb,1,4.0,71.1
93,192,359,,,,4.0,1.7410374439443297,Dfa,12,1.0,54.0
94,192,402,37.0,24.0,39.0,7.0,1.9836728465705848,Dfb,4,5.0,55.0
95,194,333,86.0,8.0,6.0,1.0,0.3433279926757109,Dfa,12,1.0,54.0
96,195,418,18.0,61.0,21.0,3.0,1.9836728465705848,Dfb,4,5.0,55.0
97,196,276,73.0,18.0,9.0,2.0,0.6561379415579722,Dfc,1,4.0,71.1
98,196,292,40.0,39.0,21.0,4.0,0.5035477225910086,Dfc,1,4.0,71.1
99,196,295,40.0,39.0,21.0,4.0,0.8697642481117214,Dfc,1,4.0,71.1
100,197,276,86.0,8.0,6.0,1.0,0.3814755474174376,Dfc,1,4.0,71.1
101,197,292,75.0,15.0,10.0,2.0,1.6250858319982058,Dfc,1,4.0,71.1
102,197,322,86.0,8.0,6.0,1.0,1.1596856641489808,Dfa,12,1.0,54.0
103,197,337,37.0,46.0,17.0,4.0,2.602697455982006,Dfa,12,1.0,54.0
104,197,377,,,,4.0,0.40383849173050695,Dfa,12,1.0,54.0
105,198,293,40.0,39.0,21.0,4.0,0.3814755474174376,Dfc,1,4.0,71.1
106,199,293,40.0,39.0,21.0,4.0,0.4730296787976158,Dfc,1,4.0,71.1
107,199,295,86.0,8.0,6.0,1.0,0.8392462043183286,Dfc,1,4.0,71.1
108,199,352,86.0,10.0,4.0,1.0,1.4190890363927906,Dfa,12,1.0,54.0
109,200,294,76.0,16.0,8.0,2.0,0.9002822919051141,Dfc,1,4.0,71.1
110,200,388,,,,4.0,0.3298152810627577,Cfa,12,1.0,54.0
111,201,288,75.0,15.0,10.0,2.0,2.059967956054038,Dfb,7,3.0,54.0
112,202,357,,,,4.0,0.9842069123369585,Dfa,14,1.0,62.2
113,203,288,76.0,16.0,8.0,2.0,1.5030136568246348,Dfb,1,4.0,71.1
114,203,294,76.0,16.0,8.0,2.0,0.7178522078957419,Dfc,1,4.0,71.1
115,204,228,86.0,8.0,6.0,1.0,4.150453955901469,Csb,1,4.0,71.1
116,204,285,86.0,8.0,6.0,1.0,1.6556038757915983,BSk,7,3.0,54.0
117,204,287,86.0,8.0,6.0,1.0,2.3575188830396314,BSk,7,3.0,54.0
118,204,294,76.0,16.0,8.0,2.0,0.38181463679293975,Dfc,1,4.0,71.1
119,205,284,86.0,8.0,6.0,1.0,1.6937514305333536,BSk,7,3.0,54.0
120,205,286,86.0,8.0,6.0,1.0,1.3275349050126124,BSk,7,3.0,54.0
121,205,293,76.0,16.0,8.0,2.0,0.4272526131075551,Dfc,1,4.0,71.1
122,205,370,,,,4.0,0.6408789196613043,Cfa,12,1.0,54.0
123,206,262,86.0,8.0,6.0,1.0,3.906309605554327,BSk,1,4.0,71.1
124,206,284,86.0,8.0,6.0,1.0,2.059967956054038,BSk,7,3.0,54.0
125,206,294,76.0,16.0,8.0,2.0,0.4730296787976158,Dfc,1,4.0,71.1
126,206,379,86.0,8.0,6.0,1.0,2.517738612954929,Cfa,14,1.0,62.2
127,207,260,86.0,8.0,6.0,1.0,3.700312809948912,BSk,7,3.0,54.0
128,207,284,86.0,8.0,6.0,1.0,2.2888532845045115,BSk,7,3.0,54.0
129,207,286,86.0,8.0,6.0,1.0,2.3346303501945727,Dfb,7,3.0,54.0
130,207,292,76.0,16.0,8.0,2.0,0.7019150072480898,Dfc,1,4.0,71.1
