,Unnamed: 0,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type,Vcmax25
278,278,161,346,86.0,8.0,6.0,1.0,0.8560480828734919,Dfb,1,4.0,71.1
325,325,161,402,86.0,8.0,6.0,1.0,0.3030950382747632,Dfc,1,4.0,71.1
567,567,163,273,20.0,40.0,40.0,9.0,1.2359807736324342,BSk,10,6.0,62.2
571,571,163,277,32.0,49.0,19.0,4.0,1.0681315327688026,BSk,10,6.0,62.2
758,758,164,282,32.0,49.0,19.0,4.0,1.9760433356222225,BSk,10,6.0,62.2
836,836,164,375,26.0,63.0,11.0,3.0,0.8392462043183286,Dfb,5,5.0,55.0
1101,1101,166,266,86.0,8.0,6.0,1.0,1.2207217517357662,Dfc,1,4.0,71.1
1202,1202,166,383,86.0,8.0,6.0,1.0,1.1966972694828517,Dfb,5,5.0,55.0
1410,1410,167,414,86.0,8.0,6.0,1.0,0.6408789196613043,Dfc,5,5.0,55.0
1464,1464,168,254,,,,4.0,3.669794766155518,Dsb,1,4.0,71.1
1595,1595,168,426,86.0,8.0,6.0,1.0,0.5493247882811261,Dfb,5,5.0,55.0
1717,1717,169,350,74.0,16.0,10.0,2.0,1.6327153429465395,Dfb,5,5.0,55.0
1741,1741,169,399,86.0,8.0,6.0,1.0,0.4730296787976158,Dfb,5,5.0,55.0
1761,1761,169,422,40.0,39.0,21.0,4.0,0.6408789196613043,Dfb,5,5.0,55.0
1912,1912,170,395,86.0,8.0,6.0,1.0,0.3967345693141624,Dfb,5,5.0,55.0
2144,2144,172,244,41.0,36.0,23.0,4.0,2.3346303501945727,BSk,7,3.0,54.0
2187,2187,172,306,,,,4.0,1.6632333867399325,Dfb,10,6.0,62.2
2668,2668,174,444,86.0,8.0,6.0,1.0,0.6561379415579722,Dfb,5,5.0,55.0
2766,2766,175,336,86.0,8.0,6.0,1.0,0.3814755474174376,Dfb,12,1.0,54.0
2803,2803,175,373,86.0,8.0,6.0,1.0,1.6479743648432643,Dfb,5,5.0,55.0
2925,2925,176,303,75.0,15.0,10.0,2.0,1.6327153429465395,BSk,10,6.0,62.2
2952,2952,176,331,86.0,8.0,6.0,1.0,0.3509575036240449,Dfb,12,1.0,54.0
3072,3072,177,268,76.0,16.0,8.0,2.0,0.8545052262150534,BSk,1,4.0,71.1
3387,3387,178,431,86.0,8.0,6.0,1.0,0.8545052262150534,Dfb,4,5.0,55.0
3421,3421,179,234,37.0,46.0,17.0,4.0,2.9449912260624282,Csb,1,4.0,71.1
3490,3490,179,326,26.0,63.0,11.0,3.0,1.2741283283741889,Dfa,12,1.0,54.0
3525,3525,179,361,86.0,8.0,6.0,1.0,1.9760433356222225,Dfb,14,1.0,62.2
3546,3546,179,408,86.0,8.0,6.0,1.0,2.8992141603723667,Dfb,5,5.0,55.0
3631,3631,180,275,76.0,16.0,8.0,2.0,0.6561379415579722,Dfc,1,4.0,71.1
3815,3815,181,272,20.0,40.0,40.0,9.0,0.8545052262150534,Dfc,10,6.0,62.2
3833,3833,181,290,40.0,39.0,21.0,4.0,0.8545052262150534,BSk,1,4.0,71.1
