,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type,Vcmax25
0,161,346,86.0,8.0,6.0,1.0,0.8560480828734919,Dfb,1,4.0,71.1
1,161,402,86.0,8.0,6.0,1.0,0.3030950382747632,Dfc,1,4.0,71.1
2,166,231,24.0,58.0,18.0,3.0,2.9297322041657594,Csb,1,4.0,71.1
3,166,266,86.0,8.0,6.0,1.0,1.2207217517357662,Dfc,1,4.0,71.1
4,166,383,86.0,8.0,6.0,1.0,1.1966972694828517,Dfb,5,5.0,55.0
5,167,414,86.0,8.0,6.0,1.0,0.6408789196613043,Dfc,5,5.0,55.0
6,168,426,86.0,8.0,6.0,1.0,0.5493247882811261,Dfb,5,5.0,55.0
7,169,350,74.0,16.0,10.0,2.0,1.6327153429465395,Dfb,5,5.0,55.0
8,169,399,86.0,8.0,6.0,1.0,0.4730296787976158,Dfb,5,5.0,55.0
9,169,422,40.0,39.0,21.0,4.0,0.6408789196613043,Dfb,5,5.0,55.0
10,170,395,86.0,8.0,6.0,1.0,0.3967345693141624,Dfb,5,5.0,55.0
11,174,444,86.0,8.0,6.0,1.0,0.6561379415579722,Dfb,5,5.0,55.0
12,176,331,86.0,8.0,6.0,1.0,0.3509575036240449,Dfb,12,1.0,54.0
13,179,234,37.0,46.0,17.0,4.0,2.9449912260624282,Csb,1,4.0,71.1
14,179,361,86.0,8.0,6.0,1.0,1.9760433356222225,Dfb,14,1.0,62.2
15,179,408,86.0,8.0,6.0,1.0,2.8992141603723667,Dfb,5,5.0,55.0
16,180,275,76.0,16.0,8.0,2.0,0.6561379415579722,Dfc,1,4.0,71.1
17,181,272,20.0,40.0,40.0,9.0,0.8545052262150534,Dfc,10,6.0,62.2
18,181,290,40.0,39.0,21.0,4.0,0.8545052262150534,BSk,1,4.0,71.1
19,181,339,86.0,8.0,6.0,1.0,0.3662165255207697,Dfa,12,1.0,54.0
20,181,342,86.0,8.0,6.0,1.0,0.3053330281529472,Dfa,12,1.0,54.0
21,184,436,86.0,8.0,6.0,1.0,2.273594262607787,Dfb,5,5.0,55.0
22,186,397,86.0,8.0,6.0,1.0,0.6561379415579722,Dfb,12,1.0,54.0
23,189,323,86.0,8.0,6.0,1.0,2.2430762188143945,Dfa,12,1.0,54.0
24,192,359,,,,4.0,1.7410374439443297,Dfa,12,1.0,54.0
25,194,333,86.0,8.0,6.0,1.0,0.3433279926757109,Dfa,12,1.0,54.0
26,195,418,18.0,61.0,21.0,3.0,1.9836728465705848,Dfb,4,5.0,55.0
27,197,322,86.0,8.0,6.0,1.0,1.1596856641489808,Dfa,12,1.0,54.0
28,197,337,37.0,46.0,17.0,4.0,2.602697455982006,Dfa,12,1.0,54.0
29,197,377,,,,4.0,0.40383849173050695,Dfa,12,1.0,54.0
30,199,352,86.0,10.0,4.0,1.0,1.4190890363927906,Dfa,12,1.0,54.0
31,200,388,,,,4.0,0.3298152810627577,Cfa,12,1.0,54.0
32,202,357,,,,4.0,0.9842069123369585,Dfa,14,1.0,62.2
33,204,228,86.0,8.0,6.0,1.0,4.150453955901469,Csb,1,4.0,71.1
34,205,370,,,,4.0,0.6408789196613043,Cfa,12,1.0,54.0
35,206,379,86.0,8.0,6.0,1.0,2.517738612954929,Cfa,14,1.0,62.2
36,207,341,86.0,8.0,6.0,1.0,1.0681315327688026,Cfa,14,1.0,62.2
37,208,286,76.0,16.0,8.0,2.0,1.7547875181201107,Dfb,10,6.0,62.2
38,209,286,76.0,16.0,8.0,2.0,1.9989318684672528,Dfb,1,4.0,71.1
39,210,238,20.0,40.0,40.0,9.0,8.0,Csa,10,6.0,62.2
40,210,363,,,,4.0,0.5951018539712152,Cfa,14,1.0,62.2
41,212,293,76.0,16.0,8.0,2.0,0.8545052262150534,Dfb,10,6.0,62.2
42,214,299,40.0,39.0,21.0,4.0,1.0376134889754098,Dfb,1,4.0,71.1
43,215,367,86.0,8.0,6.0,1.0,6.240939955748843,Cfa,14,1.0,62.2
44,216,354,86.0,8.0,6.0,1.0,2.792401007095492,Cfa,14,1.0,62.2
45,217,405,,,,4.0,2.6398107881285284,Cfa,14,1.0,62.2
46,219,348,,,,4.0,1.7242694743267182,Cfa,5,5.0,55.0
47,220,365,40.0,39.0,21.0,4.0,1.9226367589837992,Cfa,14,1.0,62.2
48,221,334,20.0,40.0,40.0,9.0,5.096513313496644,Cfa,10,6.0,62.2
49,225,393,45.0,36.0,19.0,4.0,0.8239871824216607,Cfa,14,1.0,62.2
50,232,329,18.0,61.0,21.0,3.0,3.5629816128786445,Cfa,10,6.0,62.2
51,233,344,40.0,39.0,21.0,4.0,1.6327153429465395,Cfa,5,5.0,55.0
52,233,385,86.0,10.0,4.0,1.0,1.007095445182017,Cfa,14,1.0,62.2
53,233,390,37.0,46.0,17.0,4.0,0.8239871824216607,Cfa,14,1.0,62.2
54,238,356,86.0,8.0,6.0,1.0,0.8632198231649371,Cfa,5,5.0,55.0
