,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type,Vcmax25,C4frac,g1,lpx,psi50X,gpmax,C,bexp,bc,R2_VOD,R2_ET,N_VOD,N_ET,obsfilter,lcfilter
48,48,48,48,160,292,86.0,8.0,6.0,1.0,1.2512397955291592,Dfb,14,1.0,62.2,1.13,0.1994570317820646,2.717404920165721,7.253056100503102,1.5932384358426703,0.5573773558366525,1.572375600295552,0.4277045680854396,0.29816423996066344,-0.022728566168843445,858.0,64.0,1,1
61,61,61,61,160,305,24.0,58.0,18.0,3.0,0.4110610954282799,Dfb,12,1.0,54.0,1.5,0.04795316756379928,0.31317662333353785,0.3478042335456073,4.079745701529692,21.293178605209324,7.868050397441743,0.19220379750264852,0.6762238786804533,-0.2159255191815701,789.0,60.0,1,0
74,74,74,74,160,318,86.0,8.0,6.0,1.0,0.6561379415579722,Dfb,12,1.0,54.0,1.54,3.6353264779679852,2.2115274606460242,6.24128952924244,6.336446532522601,9.939430527421589,4.225331802778091,0.4390791318128002,0.2671250374628742,-0.07288649333180586,795.0,55.0,1,0
86,86,86,86,160,330,86.0,8.0,6.0,1.0,0.5533429973805857,Dfb,12,1.0,54.0,1.73,4.208480383992455,4.254150980911576,8.127357743035777,5.470333443435679,10.95603047799323,5.147882176085559,0.31830624367243665,0.1868321434609197,-0.19578498764156405,782.0,56.0,1,0
90,90,90,90,160,334,,,,4.0,0.6459991692310775,Dfb,12,1.0,54.0,1.35,1.3483919178255888,2.6706088446851552,6.013130879907702,2.4574977054496023,8.042807187905703,6.695051517867029,0.5110776448296296,0.24274005882080907,-0.4727991094804809,757.0,58.0,1,0
91,91,91,91,160,335,86.0,8.0,6.0,1.0,0.5702126938108196,Dfb,5,5.0,55.0,1.35,1.725255070144407,3.1394087381496476,5.1601371228154145,4.543399918130715,14.899165508013748,4.0826970660896205,0.15807996011388237,0.2838037434130015,-0.5899531213917686,785.0,58.0,1,0
100,100,100,100,160,346,32.0,49.0,19.0,4.0,0.7024745047176288,Dfb,1,4.0,71.1,0.16,8.576464395625475,0.7411264156144239,13.186162749978887,0.023670418643369804,21.405598543698797,9.78694840565302,0.23839257180541953,0.5295352837394971,-1.3291556340254278,636.0,52.0,1,0
102,102,102,102,160,348,32.0,49.0,19.0,4.0,0.3356984817273769,Dfb,5,5.0,55.0,0.0,4.820549818838432,1.1337329352097556,1.3858740068845457,0.011152189481395446,16.72106382849548,8.287142663405302,0.2386020103379069,0.4479068955208573,-1.7122658000898836,522.0,54.0,1,0
104,104,104,104,160,353,86.0,8.0,6.0,1.0,0.8660851283877643,Dfb,1,4.0,71.1,0.0,9.935055031007172,0.6452806352901775,1.3701430520269808,0.02717777747194434,21.4270025023998,2.304041262317092,0.035941507325144235,0.16535432763017577,-0.45790473368424633,257.0,54.0,1,0
105,105,105,105,160,354,86.0,8.0,6.0,1.0,0.4787094258369663,Dfb,1,4.0,71.1,0.0,9.555838060704541,10.616960516101779,11.017394338122923,0.002383723014049677,1.560472722888155,8.10311104471353,0.21817354959677718,0.6317533800761697,-1.6947218404889282,568.0,52.0,1,0
114,114,114,114,160,369,86.0,8.0,6.0,1.0,0.7972669396336619,Dfc,1,4.0,71.1,0.0,5.69847829805047,8.323717512735698,9.07726048479823,3.593072273794151,3.550542366268109,9.622409846559654,0.7939728988876678,0.04748791729283619,-0.1909579050438206,563.0,47.0,1,0
175,175,175,175,160,445,86.0,8.0,6.0,1.0,0.4861863465663437,Dfc,5,5.0,55.0,0.04,4.878601592283666,2.0012394274339433,9.448102825120701,0.013775851059579545,10.136603294049554,4.190290537056092,0.2850640419263035,0.3146750268760601,-0.3322494214180922,308.0,48.0,1,0
177,177,177,177,160,447,86.0,8.0,6.0,1.0,0.3662165255207697,Dfc,5,5.0,55.0,0.04,8.42384316659058,3.4370494948579915,12.851699020171647,0.006991721184622092,9.576835053812033,7.89025021652164,0.16882802736039418,0.2707854399429829,-0.16458802603566114,675.0,50.0,1,0
218,218,218,218,161,281,75.0,15.0,10.0,2.0,1.136797131303922,Dfb,10,6.0,62.2,1.18,0.29202804542338684,2.8539853369102173,7.039700193745195,1.1650606406439705,0.5359450200194316,9.694594752625711,0.744768941415348,0.3913763535442141,-0.0217052639601496,884.0,66.0,1,0
225,225,225,225,161,288,18.0,61.0,21.0,3.0,1.1749446860456487,Dfb,10,6.0,62.2,1.29,0.2438297159383556,1.2376607414153822,2.6629495679593918,0.37212236035661017,0.18800325684574365,7.3962914341677575,0.7714635504549899,0.4130883642973615,-0.1900769888695859,881.0,69.0,1,0
272,272,272,272,161,335,86.0,8.0,6.0,1.0,0.5665335740868374,Dfb,5,5.0,55.0,1.35,6.226959907951159,0.5306121591188677,1.4982264813282427,5.026948181046828,21.037538610039437,9.405992899471325,0.3475239443399522,0.2837189182864783,-0.5701743109152713,791.0,59.0,1,0
289,289,289,289,161,360,86.0,8.0,6.0,1.0,0.8342446360299899,Dfc,5,5.0,55.0,0.0,5.909368348172686,3.6188138853721217,9.65814041700396,4.9790952051610535,20.868059815731453,6.373341962258483,0.9030884410957444,0.01765708271816746,-0.16356857152365856,715.0,51.0,1,0
