,Unnamed: 0,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type,Vcmax25
0,0,160,213,37.0,46.0,17.0,4.0,0.9155413138018388,Cfb,1,4.0,71.1
1,1,160,214,37.0,46.0,17.0,4.0,0.9155413138018388,Cfb,1,4.0,71.1
2,2,160,215,37.0,46.0,17.0,4.0,1.953154802777192,Cfb,1,4.0,71.1
3,3,160,216,37.0,46.0,17.0,4.0,5.134660868238369,Cfc,1,4.0,71.1
4,4,160,217,26.0,63.0,11.0,3.0,1.9989318684672528,Cfc,1,4.0,71.1
5,5,160,218,26.0,63.0,11.0,3.0,2.3727779049363282,Csb,1,4.0,71.1
6,6,160,225,37.0,46.0,17.0,4.0,1.0376134889754098,Cfb,1,4.0,71.1
7,7,160,226,37.0,46.0,17.0,4.0,0.8316166933699947,Cfb,1,4.0,71.1
8,8,160,227,37.0,46.0,17.0,4.0,1.0376134889754098,Cfb,1,4.0,71.1
9,9,160,228,37.0,46.0,17.0,4.0,1.0608411111959288,Dfc,7,3.0,54.0
10,10,160,229,37.0,46.0,17.0,4.0,0.3585870145724073,Dfc,7,3.0,54.0
11,11,160,230,37.0,46.0,17.0,4.0,0.8545052262150534,Dfb,1,4.0,71.1
12,12,160,231,37.0,46.0,17.0,4.0,0.8392462043183286,Dfb,1,4.0,71.1
13,13,160,239,86.0,8.0,6.0,1.0,1.2359807736324342,Dfc,1,4.0,71.1
14,14,160,240,86.0,8.0,6.0,1.0,4.0894178683146825,Dfc,1,4.0,71.1
15,15,160,247,40.0,39.0,21.0,4.0,2.5635156786450466,Dfc,1,4.0,71.1
16,16,160,248,40.0,39.0,21.0,4.0,1.2207217517357662,Dfc,1,4.0,71.1
17,17,160,249,40.0,39.0,21.0,4.0,0.8545052262150534,Dfc,1,4.0,71.1
18,18,160,250,40.0,39.0,21.0,4.0,0.8545052262150534,Dfc,1,4.0,71.1
19,19,160,251,40.0,39.0,21.0,4.0,0.6637674525063346,Dfc,1,4.0,71.1
20,20,160,264,86.0,8.0,6.0,1.0,2.04470893415737,Dfb,10,6.0,62.2
21,21,160,265,20.0,40.0,40.0,9.0,2.166781109330941,Dfb,10,6.0,62.2
22,22,160,266,20.0,40.0,40.0,9.0,1.9836728465705848,Dfb,10,6.0,62.2
23,23,160,267,20.0,40.0,40.0,9.0,2.166781109330941,Dfb,10,6.0,62.2
24,24,160,268,20.0,40.0,40.0,9.0,2.548256656748322,Dfb,12,1.0,54.0
25,25,160,269,20.0,40.0,40.0,9.0,2.8915846494240043,Dfb,12,1.0,54.0
26,26,160,270,20.0,40.0,40.0,9.0,1.6479743648432643,BSk,12,1.0,54.0
27,27,160,271,86.0,8.0,6.0,1.0,1.70901045243005,BSk,10,6.0,62.2
28,28,160,272,86.0,8.0,6.0,1.0,1.70901045243005,BSk,10,6.0,62.2
29,29,160,273,20.0,40.0,40.0,9.0,1.4190890363927906,BSk,10,6.0,62.2
30,30,160,274,20.0,40.0,40.0,9.0,1.6708628976882949,BSk,10,6.0,62.2
31,31,160,275,20.0,40.0,40.0,9.0,1.2359807736324342,BSk,10,6.0,62.2
32,32,160,276,20.0,40.0,40.0,9.0,1.2359807736324342,BSk,10,6.0,62.2
33,33,160,277,75.0,15.0,10.0,2.0,1.2359807736324342,BSk,10,6.0,62.2
34,34,160,278,75.0,15.0,10.0,2.0,1.2359807736324342,BSk,10,6.0,62.2
35,35,160,279,20.0,40.0,40.0,9.0,1.2054627298390417,BSk,10,6.0,62.2
36,36,160,280,79.0,12.0,9.0,2.0,1.7013809414816876,Dfb,10,6.0,62.2
37,37,160,281,79.0,12.0,9.0,2.0,1.640344853894902,Dfb,10,6.0,62.2
38,38,160,282,79.0,12.0,9.0,2.0,1.1291676203555878,Dfb,10,6.0,62.2
39,39,160,283,75.0,15.0,10.0,2.0,1.4419775692378494,Dfb,10,6.0,62.2
40,40,160,284,75.0,15.0,10.0,2.0,1.7242694743267182,Dfb,10,6.0,62.2
41,41,160,285,75.0,15.0,10.0,2.0,1.1902037079423735,Dfb,14,1.0,62.2
42,42,160,286,75.0,15.0,10.0,2.0,1.1902037079423735,Dfb,14,1.0,62.2
43,43,160,287,75.0,15.0,10.0,2.0,1.2054627298390417,Dfb,14,1.0,62.2
44,44,160,288,75.0,15.0,10.0,2.0,1.1902037079423735,Dfb,14,1.0,62.2
45,45,160,289,79.0,12.0,9.0,2.0,1.2207217517357662,Dfb,10,6.0,62.2
46,46,160,290,86.0,8.0,6.0,1.0,1.2359807736324342,BSk,10,6.0,62.2
47,47,160,291,86.0,8.0,6.0,1.0,1.0986495765621953,BSk,14,1.0,62.2
48,48,160,292,86.0,8.0,6.0,1.0,1.2512397955291592,Dfb,14,1.0,62.2
49,49,160,293,86.0,8.0,6.0,1.0,0.6408789196613043,Dfb,14,1.0,62.2
50,50,160,294,86.0,8.0,6.0,1.0,1.2359807736324342,Dfb,14,1.0,62.2
51,51,160,295,18.0,61.0,21.0,3.0,0.8545052262150534,Dfb,12,1.0,54.0
52,52,160,296,18.0,61.0,21.0,3.0,1.2359807736324342,Dfb,12,1.0,54.0
53,53,160,297,41.0,36.0,23.0,4.0,1.2054627298390417,Dfb,14,1.0,62.2
54,54,160,298,80.0,12.0,8.0,1.0,1.2207217517357662,Dfb,14,1.0,62.2
55,55,160,299,18.0,61.0,21.0,3.0,1.2207217517357662,Dfb,12,1.0,54.0
56,56,160,300,24.0,58.0,18.0,3.0,1.2512397955291592,Dfb,12,1.0,54.0
57,57,160,301,24.0,58.0,18.0,3.0,1.1596856641489808,Dfb,12,1.0,54.0
58,58,160,302,86.0,8.0,6.0,1.0,0.6297059247391601,Dfb,12,1.0,54.0
59,59,160,303,86.0,8.0,6.0,1.0,0.4766409806465253,Dfb,12,1.0,54.0
60,60,160,304,24.0,58.0,18.0,3.0,0.4744538541746643,Dfb,12,1.0,54.0
61,61,160,305,24.0,58.0,18.0,3.0,0.4110610954282799,Dfb,12,1.0,54.0
62,62,160,306,24.0,58.0,18.0,3.0,0.9369887168010796,Dfb,12,1.0,54.0
63,63,160,307,86.0,8.0,6.0,1.0,0.6256198977645795,Dfb,12,1.0,54.0
64,64,160,308,86.0,8.0,6.0,1.0,0.8392462043183286,Dfb,12,1.0,54.0
65,65,160,309,86.0,8.0,6.0,1.0,1.2664988174258272,Dfb,12,1.0,54.0
66,66,160,310,20.0,40.0,40.0,9.0,1.0986495765621953,Dfb,12,1.0,54.0
67,67,160,311,20.0,40.0,40.0,9.0,0.3662165255207697,Dfb,12,1.0,54.0
68,68,160,312,20.0,40.0,40.0,9.0,1.084272187041745,Dfb,12,1.0,54.0
69,69,160,313,20.0,40.0,40.0,9.0,0.6206352839450142,Dfb,12,1.0,54.0
70,70,160,314,20.0,40.0,40.0,9.0,0.3356984817273769,Dfb,12,1.0,54.0
71,71,160,315,20.0,40.0,40.0,9.0,0.9422446021210524,Dfb,12,1.0,54.0
72,72,160,316,37.0,46.0,17.0,4.0,0.7983689801039794,Dfb,12,1.0,54.0
73,73,160,317,86.0,8.0,6.0,1.0,1.432042250536231,Dfb,12,1.0,54.0
74,74,160,318,86.0,8.0,6.0,1.0,0.6561379415579722,Dfb,12,1.0,54.0
75,75,160,319,86.0,8.0,6.0,1.0,1.2734331951544575,Dfb,12,1.0,54.0
76,76,160,320,86.0,8.0,6.0,1.0,1.3580868577435752,Dfb,12,1.0,54.0
77,77,160,321,86.0,8.0,6.0,1.0,0.5999677865093788,Dfb,12,1.0,54.0
78,78,160,322,86.0,8.0,6.0,1.0,0.6414384171308448,Dfb,12,1.0,54.0
79,79,160,323,86.0,8.0,6.0,1.0,0.3204394598306521,Dfb,12,1.0,54.0
80,80,160,324,86.0,8.0,6.0,1.0,1.4105270296618893,Dfb,12,1.0,54.0
81,81,160,325,86.0,8.0,6.0,1.0,1.0359010876292194,Dfb,12,1.0,54.0
82,82,160,326,86.0,8.0,6.0,1.0,0.9404813373685442,Dfb,12,1.0,54.0
83,83,160,327,86.0,8.0,6.0,1.0,0.3923264074328899,Dfb,12,1.0,54.0
