,index,Unnamed: 0,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type,Vcmax25
0,7,7,78,1254,39.0,39.0,22.0,4.0,0.19263667421146052,Dfd,7,3.0,54.0
1,21,21,79,1251,28.0,47.0,25.0,4.0,0.18661783779665264,Dfd,7,3.0,54.0
2,44,44,80,1291,25.0,54.0,21.0,3.0,0.19104295414669467,Dfd,7,3.0,54.0
3,47,47,80,1295,39.0,40.0,21.0,4.0,0.1871603807974243,Dfd,7,3.0,54.0
4,82,82,81,1301,85.0,10.0,5.0,1.0,0.1720709035884687,Dfd,7,3.0,54.0
5,89,89,82,823,32.0,49.0,19.0,4.0,0.3509575036240449,Dfc,7,3.0,54.0
6,95,95,82,1212,86.0,10.0,4.0,1.0,0.18665174673420096,Dfd,7,3.0,54.0
7,138,138,83,824,74.0,16.0,10.0,2.0,0.27298390173194786,Dfc,7,3.0,54.0
8,164,164,83,1408,39.0,40.0,21.0,4.0,0.21394844146051253,ET,7,3.0,54.0
9,217,217,84,1259,22.0,24.0,54.0,10.0,0.19933368937723286,Dfd,7,3.0,54.0
10,222,222,84,1318,87.0,9.0,4.0,1.0,0.17669947356380014,Dfc,7,3.0,54.0
11,237,237,85,806,19.0,25.0,56.0,10.0,0.3409882759848896,Dfc,7,3.0,54.0
12,242,242,85,811,32.0,49.0,19.0,4.0,0.2616244076532928,Dfc,7,3.0,54.0
13,255,255,85,824,32.0,49.0,19.0,4.0,0.42693047820084096,Dfc,7,3.0,54.0
14,285,285,85,1142,42.0,37.0,21.0,4.0,0.18212490357151428,Dfc,7,3.0,54.0
15,304,304,85,1257,42.0,38.0,20.0,4.0,0.17754719700250532,Dfd,7,3.0,54.0
16,346,346,86,815,32.0,49.0,19.0,4.0,0.2716275442300219,Dfc,7,3.0,54.0
17,350,350,86,819,74.0,16.0,10.0,2.0,0.21808533184139414,Dfc,7,3.0,54.0
18,375,375,86,849,48.0,28.0,24.0,4.0,0.3662165255207697,Dfc,1,4.0,71.1
19,459,459,87,814,32.0,49.0,19.0,4.0,0.2760017971737414,Dfc,1,4.0,71.1
20,539,539,87,1358,47.0,33.0,20.0,4.0,0.19105990861546876,Dfc,7,3.0,54.0
21,552,552,88,200,37.0,46.0,17.0,4.0,0.3324601781915174,Dfc,7,3.0,54.0
22,558,558,88,807,19.0,25.0,56.0,10.0,0.2805116858676537,Dfc,1,4.0,71.1
23,642,642,88,1321,86.0,10.0,4.0,1.0,0.1874146978290357,Dfc,7,3.0,54.0
24,655,655,88,1367,47.0,33.0,20.0,4.0,0.14711392555298314,Dfc,7,3.0,54.0
25,659,659,89,156,40.0,39.0,21.0,4.0,0.19599365902873386,ET,7,3.0,54.0
