,index,r2_vod,r2_et,r2_sm,Geweke,N_vod,N_et,N_sm,ll_vod,ll_et,ll_sm,row,col,IGBP
0,0,0.0038276161172851263,0.6245774407911249,0.006301173474754572,0.1889282440418099,388.0,26.0,184.0,1.1558760896194256,0.0007796288965651206,0.965052526140125,76,1196,7
1000,1344,0.011592299708709267,0.6825693690028757,0.058931637640380834,0.028387738513539495,472.0,29.0,211.0,2.2954489654033443,-0.9763987205277674,1.2469257911335727,92,1323,7
2000,2886,0.4136713630563634,0.8163883431289501,0.03369862438809041,0.24706009041342242,560.0,33.0,264.0,1.8610071497431389,-0.7067300005462382,1.1916971124044748,99,999,7
3000,4492,0.31648743516630995,0.7023254979989395,0.09566204394293665,0.25923428251647895,739.0,45.0,308.0,2.370815679709358,-0.8676906933036344,1.2083221705136322,106,847,1
4000,5963,0.2938689458039062,0.7275983431827462,0.052791069218070315,0.04445041780302839,610.0,33.0,266.0,1.898398490577027,-1.0334367205662824,1.2576371495207348,111,1036,1
5000,7408,0.09320232277164346,0.9309560540970698,0.012528063241792547,1.3339167241215792,566.0,33.0,261.0,2.7788745118021865,-0.0656968610778418,0.9035849180045329,118,185,1
6000,8869,0.3405546428264163,0.7886361225746019,0.024948950482822488,0.1710494577556502,536.0,32.0,258.0,3.024059879463483,-0.6195665446462704,1.3668104618631403,124,293,1
7000,10584,0.07416002035029269,0.9341529105278575,0.0025723878068101866,0.11109894714750204,538.0,36.0,246.0,2.4381557293613674,-0.08438386596810257,1.1822140615507677,133,330,10
8000,13082,0.19454720750904475,0.8213642762159876,0.03862873586898891,0.7740273529168102,730.0,43.0,339.0,2.1649214843044717,-0.6586120281002342,0.6860388213230795,141,214,1
9000,16850,0.02624448859272524,0.834447188961764,0.02276213265992906,1.1545852754340955,646.0,40.0,294.0,2.903159717374732,-0.7337203439515537,1.1770412362581189,150,356,1
10000,20120,0.015571518662232779,0.8714232568550222,0.020066758964496327,0.6199277464085156,756.0,47.0,322.0,2.316410821526889,-0.6565085912528434,0.6753907380350758,156,336,1
11000,24642,0.21697969659106672,0.8090599931117685,0.003942875741745194,0.3500296042940396,712.0,42.0,295.0,2.9883805121839018,-0.5250073656890827,0.7190804175469382,164,424,1
12000,33485,0.3159760135866364,0.6789640243830152,0.09820715824580678,0.06964944874727319,792.0,53.0,319.0,0.695709083235849,-1.2092006392219559,-0.30274395558904865,181,1231,5
13000,44302,0.3623256594794557,0.9045360455228012,0.0571382051800318,0.031195629885142497,1244.0,85.0,429.0,1.4323005300346106,-0.6790595644777618,0.717678328706003,214,332,10
14000,52196,0.009667506242507154,0.8141135249123542,0.0542700276636337,0.29457939634951447,1229.0,91.0,399.0,1.171771411732578,-0.95562389227868,-0.39323499875779355,248,1156,8
15000,58718,0.009223169807443858,0.2600796999626274,0.01662298151589089,0.27818945583683585,1456.0,99.0,415.0,2.8542675890529163,-0.6499387424669425,2.5784536234762547,302,909,7
16000,66232,0.5336755198588969,0.33747620128115097,0.09885621207228083,0.0685851854203055,1372.0,102.0,369.0,1.6492904212477384,-1.0257393813134648,1.3543164698511772,343,429,10
17000,70712,0.8355977598089916,0.5717910250358414,0.0035280915398084732,0.5277856565313594,1449.0,99.0,355.0,1.715725794840638,-0.9238886381359478,1.8791541755967451,401,800,8
18000,78257,0.5911079477388228,0.027542922529150558,0.016217970213353083,0.20700055522641958,1430.0,102.0,402.0,2.0739801730582235,-1.3489502946226462,1.6950946263364297,438,1212,7
19000,83339,0.0950458901105996,0.018793971302210086,0.08486576234895107,0.20353423879696714,1398.0,102.0,423.0,1.533113784834033,-1.0191865005725882,1.9062951155454617,460,799,7
20000,89503,0.01193891937632187,0.12809245636031383,0.07918231293250572,0.19508883974194044,1406.0,96.0,484.0,2.285941419058184,-1.0018028153804288,1.8935296289318881,490,817,7
