,index,r2_vod,r2_et,r2_sm,Geweke,N_vod,N_et,N_sm,ll_vod,ll_et,ll_sm,row,col,IGBP
0,9382,0.3987980552906211,0.6647348343850332,0.5318453884626227,0.0815119570044818,627.0,38.0,324.0,1.6332679876514287,-1.226787423689777,0.4846855321024436,126,1042,5
1000,31832,0.2893749196307576,0.33222983528305366,0.5673197229508562,0.08559923438084113,975.0,64.0,412.0,-2.681529400993894,-0.654114462939299,1.3064663039744633,177,988,10
2000,38125,0.3875092702164877,0.8154813223668174,0.6114076480590916,0.10017278234679501,1086.0,82.0,438.0,1.788128757695366,-0.5780152035022929,1.3440079759963601,195,712,7
3000,43889,0.7082963810136468,0.7765012517421681,0.7708995556437175,0.41161645221060117,1345.0,99.0,523.0,1.811763486119398,-0.6136855025508543,1.0071940596962983,213,235,8
4000,47444,0.16544256107048744,0.057649907327505426,0.6469311410100839,0.026584621999818075,665.0,48.0,198.0,1.892072129870245,-1.0790601632969796,2.0699518256692686,224,980,10
5000,56593,0.7097150351026658,0.2851436733462327,0.5265998023718598,0.6396276332283701,1378.0,95.0,380.0,1.5792613412371137,-1.274486805844192,1.324226409670032,280,1041,2
6000,60471,0.4512162094188584,0.6498150740404738,0.7155062015770456,0.01887779920799833,1358.0,103.0,363.0,1.352027974721802,-0.5798635638264766,1.6849801750641924,311,757,10
7000,62447,0.7061585704896437,0.5669669798732421,0.6969921955405618,0.08656509675155888,1420.0,100.0,405.0,1.6033702645120471,-0.816990415597969,1.2987784068063473,319,780,10
8000,68511,0.8243457176665919,0.5586709538477449,0.7127196825584053,0.4161219519098557,1418.0,100.0,353.0,1.816616054332922,-0.6421706002960471,2.050015637001657,378,859,9
9000,72957,0.2595277005919165,0.39482836711851826,0.6527557428446108,0.07363075305568478,950.0,74.0,297.0,1.7677903345110715,-0.6425034798215351,1.4144790868439374,417,423,10
10000,78246,0.2667208528332918,0.7009035965782375,0.5337125670083146,0.1639363558459085,1318.0,94.0,408.0,1.7962767959310515,-0.49665015620127234,1.669719309588554,438,906,9
11000,86018,0.2255579373795733,0.06625640589166494,0.6311014293957851,0.4011847403497423,1448.0,104.0,468.0,1.9647932579147216,-1.1704458428758817,2.0884400517375097,473,1202,7
