row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type,Vcmax25
161,402,86,8,6,1,0.303095038,Dfc,1,4,71.1
166,266,86,8,6,1,1.220721752,Dfc,1,4,71.1
166,383,86,8,6,1,1.196697269,Dfb,5,5,55
167,414,86,8,6,1,0.64087892,Dfc,5,5,55
168,426,86,8,6,1,0.549324788,Dfb,5,5,55
169,350,74,16,10,2,1.632715343,Dfb,5,5,55
169,399,86,8,6,1,0.473029679,Dfb,5,5,55
169,422,40,39,21,4,0.64087892,Dfb,5,5,55
170,395,86,8,6,1,0.396734569,Dfb,5,5,55
174,444,86,8,6,1,0.656137942,Dfb,5,5,55
176,331,86,8,6,1,0.350957504,Dfb,12,1,54
179,234,37,46,17,4,2.944991226,Csb,1,4,71.1
179,361,86,8,6,1,1.976043336,Dfb,14,1,62.2
179,408,86,8,6,1,2.89921416,Dfb,5,5,55
180,275,76,16,8,2,0.656137942,Dfc,1,4,71.1
181,272,20,40,40,9,0.854505226,Dfc,10,6,62.2
181,290,40,39,21,4,0.854505226,BSk,1,4,71.1
181,339,86,8,6,1,0.366216526,Dfa,12,1,54
181,342,86,8,6,1,0.305333028,Dfa,12,1,54
184,436,86,8,6,1,2.273594263,Dfb,5,5,55
186,397,86,8,6,1,0.656137942,Dfb,12,1,54
189,323,86,8,6,1,2.243076219,Dfa,12,1,54
192,359,,,,4,1.741037444,Dfa,12,1,54
194,333,86,8,6,1,0.343327993,Dfa,12,1,54
195,418,18,61,21,3,1.983672847,Dfb,4,5,55
197,322,86,8,6,1,1.159685664,Dfa,12,1,54
197,337,37,46,17,4,2.602697456,Dfa,12,1,54
197,377,,,,4,0.403838492,Dfa,12,1,54
199,352,86,10,4,1,1.419089036,Dfa,12,1,54
200,388,,,,4,0.329815281,Cfa,12,1,54
202,357,,,,4,0.984206912,Dfa,14,1,62.2
204,228,86,8,6,1,4.150453956,Csb,1,4,71.1
205,370,,,,4,0.64087892,Cfa,12,1,54
206,379,86,8,6,1,2.517738613,Cfa,14,1,62.2
207,341,86,8,6,1,1.068131533,Cfa,14,1,62.2
208,286,76,16,8,2,1.754787518,Dfb,10,6,62.2
209,286,76,16,8,2,1.998931868,Dfb,1,4,71.1
210,238,20,40,40,9,8,Csa,10,6,62.2
210,363,,,,4,0.595101854,Cfa,14,1,62.2
212,293,76,16,8,2,0.854505226,Dfb,10,6,62.2
214,299,40,39,21,4,1.037613489,Dfb,1,4,71.1
215,367,86,8,6,1,6.240939956,Cfa,14,1,62.2
216,354,86,8,6,1,2.792401007,Cfa,14,1,62.2
217,405,,,,4,2.639810788,Cfa,14,1,62.2
219,348,,,,4,1.724269474,Cfa,5,5,55
220,365,40,39,21,4,1.922636759,Cfa,14,1,62.2
221,334,20,40,40,9,5.096513313,Cfa,10,6,62.2
223,280,37,46,17,4,3.677424277,Cfb,1,4,71.1
225,393,45,36,19,4,0.823987182,Cfa,14,1,62.2
232,329,18,61,21,3,3.562981613,Cfa,10,6,62.2
233,385,86,10,4,1,1.007095445,Cfa,14,1,62.2
233,390,37,46,17,4,0.823987182,Cfa,14,1,62.2
238,356,86,8,6,1,0.863219823,Cfa,5,5,55
